Order Date,Purchase Order,Customer ID,Customer Location,Order Req Amt (Ton),Fullfilled By ID,Fullfilled By Location,Supplied Amt (Ton),Cost Of Delivery ($)
02/10/21 01:11,50f43343-e930-4f2e-91be-606bc018c872,c53fa27e-c8c2-4b77-a89a-6ed11fa87317,Cincinatti,203,19f4a11d-63ca-4127-975a-15933aaa33ff,Omaha,203,2233
02/10/21 04:17,cb06e4cc-5469-4e30-a92f-287ae4a62896,d20009ca-5479-4232-8b07-7c8c11f74c2e,St Louis,127,cf9651b0-df49-498f-a66c-0a7f897545ce,Kansas City,127,1016
02/10/21 04:43,a23e6eb8-8a52-434b-b35c-5c1d3a70b0ea,70080304-afa3-4026-9c86-95970c4ed5b4,Chicago,242,ae5d7b77-86c9-49d2-ac18-09bf9883adc2,Des Moines,210,840
02/09/21 03:26,cd5fdc3d-b08f-426e-bc9e-fb25a676d2be,c53fa27e-c8c2-4b77-a89a-6ed11fa87317,Cincinatti,188,cf9651b0-df49-498f-a66c-0a7f897545ce,Kansas City,188,1880
02/09/21 05:08,90474d73-46c2-4e7a-a42e-27907d13fe48,70080304-afa3-4026-9c86-95970c4ed5b4,Chicago,154,19f4a11d-63ca-4127-975a-15933aaa33ff,Omaha,154,1078
02/09/21 06:05,d432dbd7-bf0b-4fd2-b56d-00d06baec1b5,d20009ca-5479-4232-8b07-7c8c11f74c2e,St Louis,102,ae5d7b77-86c9-49d2-ac18-09bf9883adc2,Des Moines,102,510
02/08/21 13:04,179e4d09-11a6-4659-a380-a6ef3103e495,c53fa27e-c8c2-4b77-a89a-6ed11fa87317,Cincinatti,307,ae5d7b77-86c9-49d2-ac18-09bf9883adc2,Des Moines,293,3516
02/08/21 14:28,a1944fe4-f8fa-4a76-a290-6bbc5994aa28,70080304-afa3-4026-9c86-95970c4ed5b4,Chicago,129,19f4a11d-63ca-4127-975a-15933aaa33ff,Omaha,129,903
02/08/21 20:39,d35d6abf-ad37-4404-b163-3c18d557f0f9,d20009ca-5479-4232-8b07-7c8c11f74c2e,St Louis,139,cf9651b0-df49-498f-a66c-0a7f897545ce,Kansas City,107,856
03/07/21 16:59,43567602-e2bb-4c86-aa1c-10675e9c34e6,d20009ca-5479-4232-8b07-7c8c11f74c2e,St Louis,93,cf9651b0-df49-498f-a66c-0a7f897545ce,Kansas City,93,744
04/07/21 04:49,4d76c1cd-5458-4cac-be5a-d7f31c3fd2c2,70080304-afa3-4026-9c86-95970c4ed5b4,Chicago,130,19f4a11d-63ca-4127-975a-15933aaa33ff,Omaha,130,910
04/07/21 05:49,fa014ec9-1b59-4115-b959-119da3fc0c20,c53fa27e-c8c2-4b77-a89a-6ed11fa87317,Cincinatti,230,ae5d7b77-86c9-49d2-ac18-09bf9883adc2,Des Moines,230,2760
03/06/21 21:59,d69290b7-3989-4efb-a9ac-4063a6a51c78,d20009ca-5479-4232-8b07-7c8c11f74c2e,St Louis,126,cf9651b0-df49-498f-a66c-0a7f897545ce,Kansas City,126,1008
04/06/21 04:35,f28615ea-7065-41e2-9f55-1d15d6a5f6ce,c53fa27e-c8c2-4b77-a89a-6ed11fa87317,Cincinatti,294,ae5d7b77-86c9-49d2-ac18-09bf9883adc2,Des Moines,268,3216
04/06/21 05:59,f5d4062b-a66b-40b7-88f5-4cf0ccdb9fad,70080304-afa3-4026-9c86-95970c4ed5b4,Chicago,275,19f4a11d-63ca-4127-975a-15933aaa33ff,Omaha,93,651
04/05/21 20:13,fca66ae5-dea5-4b87-a865-53122d9db98a,70080304-afa3-4026-9c86-95970c4ed5b4,Chicago,161,cf9651b0-df49-498f-a66c-0a7f897545ce,Kansas City,161,966
05/05/21 01:27,9bf5f019-b674-4869-95cf-50574958a532,c53fa27e-c8c2-4b77-a89a-6ed11fa87317,Cincinatti,347,19f4a11d-63ca-4127-975a-15933aaa33ff,Omaha,252,2772
05/05/21 04:45,09350ed1-09a2-4223-a27c-ce6a96a0f220,d20009ca-5479-4232-8b07-7c8c11f74c2e,St Louis,102,ae5d7b77-86c9-49d2-ac18-09bf9883adc2,Des Moines,102,510
04/04/21 13:19,1c408c9c-508a-48db-a6bd-0245e846c33b,70080304-afa3-4026-9c86-95970c4ed5b4,Chicago,127,cf9651b0-df49-498f-a66c-0a7f897545ce,Kansas City,127,762
04/04/21 18:34,733ace4c-05a6-4909-b00d-6246245fe06e,c53fa27e-c8c2-4b77-a89a-6ed11fa87317,Cincinatti,426,ae5d7b77-86c9-49d2-ac18-09bf9883adc2,Des Moines,261,3132
05/04/21 00:19,81298777-ace9-47f3-8fb8-7466aae330b3,d20009ca-5479-4232-8b07-7c8c11f74c2e,St Louis,138,19f4a11d-63ca-4127-975a-15933aaa33ff,Omaha,118,1298
05/03/21 18:24,f5d08502-3ad6-4b08-ae40-8bc993a04ac4,c53fa27e-c8c2-4b77-a89a-6ed11fa87317,Cincinatti,182,cf9651b0-df49-498f-a66c-0a7f897545ce,Kansas City,182,1820
06/03/21 02:41,5a7bd64a-06a7-42cb-b34a-9b27e52cb013,70080304-afa3-4026-9c86-95970c4ed5b4,Chicago,249,ae5d7b77-86c9-49d2-ac18-09bf9883adc2,Des Moines,223,892
06/03/21 03:04,2a665f4e-e51d-4b06-8040-4c63ab4487b4,d20009ca-5479-4232-8b07-7c8c11f74c2e,St Louis,85,19f4a11d-63ca-4127-975a-15933aaa33ff,Omaha,85,935
03/02/21 15:58,e5b015b8-9534-4787-98a6-17b038e7eed6,c53fa27e-c8c2-4b77-a89a-6ed11fa87317,Cincinatti,157,cf9651b0-df49-498f-a66c-0a7f897545ce,Kansas City,157,1570
04/02/21 04:16,a6de9929-db3d-475b-a6e5-972d8f40a8b9,d20009ca-5479-4232-8b07-7c8c11f74c2e,St Louis,133,19f4a11d-63ca-4127-975a-15933aaa33ff,Omaha,133,1463
04/02/21 05:08,4cb944cd-9049-479d-ab8e-33b13126fec1,70080304-afa3-4026-9c86-95970c4ed5b4,Chicago,195,ae5d7b77-86c9-49d2-ac18-09bf9883adc2,Des Moines,195,780
05/01/21 03:51,9293865f-4a76-4435-b8d6-087692fb4f54,70080304-afa3-4026-9c86-95970c4ed5b4,Chicago,201,19f4a11d-63ca-4127-975a-15933aaa33ff,Omaha,201,1407
05/01/21 04:26,cd0d5365-4e0f-4fa9-9b00-47d420313995,d20009ca-5479-4232-8b07-7c8c11f74c2e,St Louis,78,cf9651b0-df49-498f-a66c-0a7f897545ce,Kansas City,78,624
05/01/21 05:54,ca1877a6-5c84-4153-a812-afdb25f9b7eb,c53fa27e-c8c2-4b77-a89a-6ed11fa87317,Cincinatti,192,ae5d7b77-86c9-49d2-ac18-09bf9883adc2,Des Moines,192,2304
05/12/20 17:09,70a24878-bb5d-44e1-9d15-58b2a9ecc3d5,70080304-afa3-4026-9c86-95970c4ed5b4,Chicago,149,19f4a11d-63ca-4127-975a-15933aaa33ff,Omaha,149,1043
06/12/20 03:20,e3e00921-9c29-488b-b127-72ce5a83ce15,c53fa27e-c8c2-4b77-a89a-6ed11fa87317,Cincinatti,163,ae5d7b77-86c9-49d2-ac18-09bf9883adc2,Des Moines,163,1956
